,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AACG,ATA Creativity Global - American Depositary Shares each representing two common shares,G,N,N,100,N,N
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AACQ,Artius Acquisition Inc. - Class A Common Stock,S,N,N,100,N,N
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,AACQU,Artius Acquisition Inc. - Unit consisting of one ordinary share and one third redeemable warrant,S,N,N,100,N,N
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,AACQW,Artius Acquisition Inc. - Warrant,S,N,N,100,N,N
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AADR,AdvisorShares Dorsey Wright ADR ETF,G,N,N,100,Y,N
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,AAL,American Airlines Group Inc. - Common Stock,Q,N,N,100,N,N
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,AAME,Atlantic American Corporation - Common Stock,G,N,N,100,N,N
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,AAOI,Applied Optoelectronics Inc. - Common Stock,G,N,N,100,N,N
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,AAON,AAON Inc. - Common Stock,Q,N,N,100,N,N
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,AAPL,Apple Inc. - Common Stock,Q,N,N,100,N,N
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,AAWW,Atlas Air Worldwide Holdings - Common Stock,Q,N,N,100,N,N
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,G,N,N,100,Y,N
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,ABCB,Ameris Bancorp - Common Stock,Q,N,N,100,N,N
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,ABCL,AbCellera Biologics Inc. - Common Shares,Q,N,N,100,N,N
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,ABCM,Abcam plc - American Depositary Shares,Q,N,N,100,N,N
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,ABEO,Abeona Therapeutics Inc. - Common Stock,S,N,N,100,N,N
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,ABGI,ABG Acquisition Corp. I - Class A Ordinary Shares,S,N,N,100,N,N
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,ABIO,ARCA biopharma Inc. - Common Stock,S,N,N,100,N,N
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,ABMD,ABIOMED Inc. - Common Stock,Q,N,N,100,N,N
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,ABNB,Airbnb Inc. - Class A Common Stock,Q,N,N,100,N,N
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,ABST,Absolute Software Corporation - Common Stock,Q,N,N,100,N,N
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,ABTX,Allegiance Bancshares Inc. - Common Stock,G,N,N,100,N,N
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,ABUS,Arbutus Biopharma Corporation - Common Stock,Q,N,N,100,N,N
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,ACAC,Acies Acquisition Corp. - Class A Ordinary Share,S,N,N,100,N,N
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,ACACU,Acies Acquisition Corp. - Unit,S,N,N,100,N,N
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,ACACW,Acies Acquisition Corp. - Warrant,S,N,N,100,N,N
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,100,N,N
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,ACAH,Atlantic Coastal Acquisition Corp. - Class A Common Stock,S,N,N,100,N,N
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,ACAHU,Atlantic Coastal Acquisition Corp. - Unit,S,N,N,100,N,N
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,ACAHW,Atlantic Coastal Acquisition Corp. - Warrant,S,N,N,100,N,N
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,ACB,Aurora Cannabis Inc. - Common Shares,Q,N,N,100,N,N
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,ACBA,Ace Global Business Acquisition Limited - Ordinary Shares,S,N,N,100,N,N
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,ACBAU,Ace Global Business Acquisition Limited - Unit,S,N,N,100,N,N
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,ACBAW,Ace Global Business Acquisition Limited - Warrant,S,N,N,100,N,N
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,ACBI,Atlantic Capital Bancshares Inc. - Common Stock,Q,N,N,100,N,N
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,ACCD,Accolade Inc. - common stock,Q,N,N,100,N,N
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,ACER,Acer Therapeutics Inc. - Common Stock,S,N,N,100,N,N
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,ACET,Adicet Bio Inc. - Common Stock,G,N,N,100,N,N
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,ACEV,ACE Convergence Acquisition Corp. - Class A Ordinary Shares,S,N,N,100,N,N
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,ACEVU,ACE Convergence Acquisition Corp. - Unit,S,N,N,100,N,N
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,ACEVW,ACE Convergence Acquisition Corp. - Warrant,S,N,N,100,N,N
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,ACGL,Arch Capital Group Ltd. - Common Stock,Q,N,N,100,N,N
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,ACGLO,Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,Q,N,N,100,N,N
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,ACGLP,Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Q,N,N,100,N,N
