,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Symbol,Company Name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,"Agilent Technologies, Inc. Common Stock"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,AA,Alcoa Inc. Common Stock
2,2,2,2,2,2,2,2,2,2,2,2,2,2,AA$B,Alcoa Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,AAC,"AAC Holdings, Inc. Common Stock"
4,4,4,4,4,4,4,4,4,4,4,4,4,4,AAN,"Aaron's, Inc. Common Stock"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I
6,6,6,6,6,6,6,6,6,6,6,6,6,6,AAT,"American Assets Trust, Inc. Common Stock"
7,7,7,7,7,7,7,7,7,7,7,7,7,7,AAV,Advantage Oil & Gas Ltd  Ordinary Shares
8,8,8,8,8,8,8,8,8,8,8,8,8,8,AB,Allianceberstein Holding L.P.  Units
9,9,9,9,9,9,9,9,9,9,9,9,9,9,ABB,ABB Ltd Common Stock
10,10,10,10,10,10,10,10,10,10,10,10,10,10,ABBV,AbbVie Inc. Common Stock
11,11,11,11,11,11,11,11,11,11,11,11,11,11,ABC,AmerisourceBergen Corporation (Holding Co) Common Stock
12,12,12,12,12,12,12,12,12,12,12,12,12,12,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
13,13,13,13,13,13,13,13,13,13,13,13,13,13,ABG,Asbury Automotive Group Inc Common Stock
14,14,14,14,14,14,14,14,14,14,14,14,14,14,ABM,ABM Industries Incorporated Common Stock
15,15,15,15,15,15,15,15,15,15,15,15,15,15,ABR,Arbor Realty Trust Common Stock
16,16,16,16,16,16,16,16,16,16,16,16,16,16,ABR$A,Arbor Realty Trust Preferred Series A
17,17,17,17,17,17,17,17,17,17,17,17,17,17,ABR$B,Arbor Realty Trust Cumulative Redeemable Preferred Series B
18,18,18,18,18,18,18,18,18,18,18,18,18,18,ABR$C,Arbor Realty Trust Cumulative Redeemable Preferred Series C
19,19,19,19,19,19,19,19,19,19,19,19,19,19,ABRN,Arbor Realty Trust 7.375% Senior Notes due 2021
20,20,20,20,20,20,20,20,20,20,20,20,20,20,ABT,Abbott Laboratories Common Stock
21,21,21,21,21,21,21,21,21,21,21,21,21,21,ABX,Barrick Gold Corporation Common Stock
22,22,22,22,22,22,22,22,22,22,22,22,22,22,ACC,American Campus Communities Inc Common Stock
